date,week,day,planned_focus,wg_subtasks,primary_owner,cto_checkin,ciso_checkin,cio_checkin,vp_product_checkin,clinical_ai_checkin,ops_checkin,program_lead_checkin,sev1_open,sev2_open,burn_in_status,security_status,clinical_safety_status,interop_status,support_status,kpi_status,blockers,decisions_needed,evidence_links,eod_result,next_day_focus,last_updated_utc
2026-10-05,Week 1,Monday,Wave G kickoff and owner confirmation,WG-001-A,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,pending,pending,pending,pending,pending,pending,,,,"",Kickoff baseline freeze,
2026-10-06,Week 1,Tuesday,Validate support tiers and escalation contacts,WG-006-A,CIO + Ops,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,pending,pending,pending,pending,pending,pending,,,,"",Finalize support ownership,
2026-10-07,Week 1,Wednesday,Finalize KPI source mappings and definitions,WG-007-A,Product + Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,pending,pending,pending,pending,pending,pending,,,,"",Cross-role checkpoint prep,
2026-10-08,Week 1,Thursday,Cross-role checkpoint on readiness assumptions,WG-001-A|WG-006-A|WG-007-A,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,pending,pending,pending,pending,pending,pending,,,,"",Close Week 1 outputs,
2026-10-09,Week 1,Friday,Publish Week 1 outputs and close target items,WG-001-A|WG-006-A|WG-007-A,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,pending,pending,pending,pending,pending,pending,,,,"",Start burn-in Week 2,
2026-10-12,Week 2,Monday,Start 30-day burn-in data collection,WG-001-B,CTO + Ops,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,pending,,,,"",Tabletop scenario planning,
2026-10-13,Week 2,Tuesday,Run incident tabletop scenario planning,WG-002-A,Ops + CISO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Execute tabletop,
2026-10-14,Week 2,Wednesday,Execute incident tabletop and capture actions,WG-002-A,Ops + CISO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Security hard-close audit,
2026-10-15,Week 2,Thursday,Re-audit high and critical security findings,WG-003-A,CISO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Publish Week 2 closure plan,
2026-10-16,Week 2,Friday,Publish Week 2 findings and closure plan,WG-001-B|WG-002-A|WG-003-A,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Prepare DR drill,
2026-10-19,Week 3,Monday,Prepare live DR and restore drill,WG-002-B,Ops + CTO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,pending,,,,"",Execute DR drill,
2026-10-20,Week 3,Tuesday,Execute DR and restore drill with RTO RPO capture,WG-002-B,Ops + CTO,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,pending,pending,pending,,,,"",Validate confidence policy,
2026-10-21,Week 3,Wednesday,Validate confidence to action in high-risk workflows,WG-004-A,Clinical AI + VP Product,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,in_progress,pending,pending,pending,,,,"",Run safety regressions,
2026-10-22,Week 3,Thursday,Run clinical safety regression suite,WG-004-B,Clinical AI + QA,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,in_progress,pending,pending,pending,,,,"",Publish Week 3 evidence,
2026-10-23,Week 3,Friday,Publish Week 3 drill and safety evidence,WG-002-B|WG-004-A|WG-004-B,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,in_progress,pending,pending,pending,,,,"",Start OpenEHR replay checks,
2026-10-26,Week 4,Monday,Run OpenEHR replay and threshold checks,WG-005-A,CIO + Interop,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,in_progress,pending,pending,,,,"",Run lineage audit,
2026-10-27,Week 4,Tuesday,Audit lineage from source note to answer,WG-005-B,CIO + Data,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,in_progress,pending,pending,,,,"",Run support handoff drill,
2026-10-28,Week 4,Wednesday,Execute day0 day7 day30 support handoff drill,WG-006-B,Ops + Clinical Ops,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,in_progress,in_progress,pending,,,,"",Triage week findings,
2026-10-29,Week 4,Thursday,Triage reconciliation lineage and support failures,WG-005-A|WG-005-B|WG-006-B,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,in_progress,in_progress,pending,,,,"",Publish Week 4 evidence,
2026-10-30,Week 4,Friday,Publish Week 4 interoperability and support evidence,WG-005-A|WG-005-B|WG-006-B,Program Lead,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,pending,pending,in_progress,in_progress,pending,,,,"",Start Week 5 security checks,
2026-11-02,Week 5,Monday,Validate secrets rotation and access recertification,WG-003-B,CISO + Ops,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Verify break-glass audit integrity,
2026-11-03,Week 5,Tuesday,Verify break-glass access and audit integrity,WG-003-B,CISO + Ops,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,pending,pending,pending,,,,"",Draft OpenEHR rollback runbook,
2026-11-04,Week 5,Wednesday,Draft OpenEHR rollback and incident recovery runbook,WG-005-C,CIO + Ops,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,pending,in_progress,in_progress,pending,,,,"",Consolidate KPI midpoint trends,
2026-11-05,Week 5,Thursday,Consolidate first-half KPI trend and variance analysis,WG-007-B,Product + Ops + Clinical AI,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,not_submitted,0,0,in_progress,in_progress,in_progress,in_progress,in_progress,in_progress,,,,"",Publish Week 5 checkpoint,
