subtask_id,backlog_id,phase,priority,workstream,owner,summary,sprint,due_date,status
P0-001-A,P0-001,PLAN,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Neo4j is unavailable.",Sprint-1,2026-02-27,todo
P0-001-B,P0-001,BUILD,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Neo4j is unavailable.",Sprint-2,2026-03-13,todo
P0-001-C,P0-001,VERIFY,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Neo4j is unavailable.",Sprint-3,2026-03-27,todo
P0-002-A,P0-002,PLAN,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Kafka is unavailable for required flows.",Sprint-1,2026-02-27,todo
P0-002-B,P0-002,BUILD,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Kafka is unavailable for required flows.",Sprint-2,2026-03-13,todo
P0-002-C,P0-002,VERIFY,P0,"WS-01 Platform reliability","CTO + Ops","Fail closed in readiness when Kafka is unavailable for required flows.",Sprint-3,2026-03-27,todo
P0-003-A,P0-003,PLAN,P0,"WS-01 Platform reliability","CTO + CISO","Remove ""mock_mode treated as connected"" semantics from production posture checks.",Sprint-1,2026-02-27,todo
P0-003-B,P0-003,BUILD,P0,"WS-01 Platform reliability","CTO + CISO","Remove ""mock_mode treated as connected"" semantics from production posture checks.",Sprint-2,2026-03-13,todo
P0-003-C,P0-003,VERIFY,P0,"WS-01 Platform reliability","CTO + CISO","Remove ""mock_mode treated as connected"" semantics from production posture checks.",Sprint-3,2026-03-27,todo
P0-004-A,P0-004,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Surface `dependency_state` in all clinical query responses.",Sprint-1,2026-02-27,todo
P0-004-B,P0-004,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Surface `dependency_state` in all clinical query responses.",Sprint-2,2026-03-13,todo
P0-004-C,P0-004,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Surface `dependency_state` in all clinical query responses.",Sprint-3,2026-03-27,todo
P0-005-A,P0-005,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI","Block graph build when ingestion has note-level extraction failures.",Sprint-1,2026-02-27,todo
P0-005-B,P0-005,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI","Block graph build when ingestion has note-level extraction failures.",Sprint-2,2026-03-13,todo
P0-005-C,P0-005,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI","Block graph build when ingestion has note-level extraction failures.",Sprint-3,2026-03-27,todo
P0-006-A,P0-006,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI","Propagate extraction status (`ok|partial|failed`) across import, KG build, and Q&A.",Sprint-1,2026-02-27,todo
P0-006-B,P0-006,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI","Propagate extraction status (`ok|partial|failed`) across import, KG build, and Q&A.",Sprint-2,2026-03-13,todo
P0-006-C,P0-006,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI","Propagate extraction status (`ok|partial|failed`) across import, KG build, and Q&A.",Sprint-3,2026-03-27,todo
P0-007-A,P0-007,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + CISO","Enforce strict narrative grounding prior to KG writes.",Sprint-1,2026-02-27,todo
P0-007-B,P0-007,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + CISO","Enforce strict narrative grounding prior to KG writes.",Sprint-2,2026-03-13,todo
P0-007-C,P0-007,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + CISO","Enforce strict narrative grounding prior to KG writes.",Sprint-3,2026-03-27,todo
P0-008-A,P0-008,PLAN,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Disable hardcoded ontology edge fallback in production pathways.",Sprint-1,2026-02-27,todo
P0-008-B,P0-008,BUILD,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Disable hardcoded ontology edge fallback in production pathways.",Sprint-2,2026-03-13,todo
P0-008-C,P0-008,VERIFY,P0,"WS-03 Clinical AI safety","Clinical AI + CTO","Disable hardcoded ontology edge fallback in production pathways.",Sprint-3,2026-03-27,todo
P0-009-A,P0-009,PLAN,P0,"WS-02 Security compliance","CISO","Enforce authentication by default in non-dev environments.",Sprint-1,2026-02-27,todo
P0-009-B,P0-009,BUILD,P0,"WS-02 Security compliance","CISO","Enforce authentication by default in non-dev environments.",Sprint-2,2026-03-13,todo
P0-009-C,P0-009,VERIFY,P0,"WS-02 Security compliance","CISO","Enforce authentication by default in non-dev environments.",Sprint-3,2026-03-27,todo
P0-010-A,P0-010,PLAN,P0,"WS-02 Security compliance","CISO + Platform","Remove insecure credential defaults from deployment templates.",Sprint-1,2026-02-27,todo
P0-010-B,P0-010,BUILD,P0,"WS-02 Security compliance","CISO + Platform","Remove insecure credential defaults from deployment templates.",Sprint-2,2026-03-13,todo
P0-010-C,P0-010,VERIFY,P0,"WS-02 Security compliance","CISO + Platform","Remove insecure credential defaults from deployment templates.",Sprint-3,2026-03-27,todo
P0-011-A,P0-011,PLAN,P0,"WS-02 Security compliance","CISO + Ops","Require Redis authentication and restricted network exposure.",Sprint-1,2026-02-27,todo
P0-011-B,P0-011,BUILD,P0,"WS-02 Security compliance","CISO + Ops","Require Redis authentication and restricted network exposure.",Sprint-2,2026-03-13,todo
P0-011-C,P0-011,VERIFY,P0,"WS-02 Security compliance","CISO + Ops","Require Redis authentication and restricted network exposure.",Sprint-3,2026-03-27,todo
P0-012-A,P0-012,PLAN,P0,"WS-02 Security compliance","CISO + Platform","Enforce encryption-at-rest for PHI stores.",Sprint-1,2026-02-27,todo
P0-012-B,P0-012,BUILD,P0,"WS-02 Security compliance","CISO + Platform","Enforce encryption-at-rest for PHI stores.",Sprint-2,2026-03-13,todo
P0-012-C,P0-012,VERIFY,P0,"WS-02 Security compliance","CISO + Platform","Enforce encryption-at-rest for PHI stores.",Sprint-3,2026-03-27,todo
P0-013-A,P0-013,PLAN,P0,"WS-02 Security compliance","CISO + Ops","Enforce TLS for ingress and service links handling PHI.",Sprint-1,2026-02-27,todo
P0-013-B,P0-013,BUILD,P0,"WS-02 Security compliance","CISO + Ops","Enforce TLS for ingress and service links handling PHI.",Sprint-2,2026-03-13,todo
P0-013-C,P0-013,VERIFY,P0,"WS-02 Security compliance","CISO + Ops","Enforce TLS for ingress and service links handling PHI.",Sprint-3,2026-03-27,todo
P0-014-A,P0-014,PLAN,P0,"WS-02 Security compliance","CISO + Ops","Add audit coverage for worker-based PHI operations.",Sprint-1,2026-02-27,todo
P0-014-B,P0-014,BUILD,P0,"WS-02 Security compliance","CISO + Ops","Add audit coverage for worker-based PHI operations.",Sprint-2,2026-03-13,todo
